Exam1,Exam2,Quarter
80,70,Aut_2002
58,38,Aut_2003
69,44,Aut_2003
79,50,Spr_2003
67,57,Aut_2002
76,46,Spr_2002
92,24,Spr_2002
90,63,Aut_2002
68,61,Spr_2002
49,61,Spr_2003
64,49,Aut_2003
76,41,Aut_2003
60,40,Spr_2003
76,60,Aut_2002
86,45,Aut_2003
69,54,Spr_2003
91,57,Aut_2002
80,64,Aut_2002
75,33,Spr_2003
62,51,Spr_2002
75,62,Aut_2002
72,72,Spr_2003
55,32,Spr_2003
72,42,Aut_2003
66,60,Spr_2003
45,24,Spr_2003
92,56,Aut_2002
56,51,Spr_2003
63,66,Spr_2002
73,49,Spr_2003
74,59,Aut_2002
77,67,Aut_2002
72,61,Aut_2002
59,38,Spr_2003
76,53,Aut_2002
81,69,Aut_2002
85,63,Aut_2002
58,45,Aut_2003
86,70,Spr_2002
77,67,Aut_2002
77,42,Spr_2002
79,46,Spr_2002
86,49,Spr_2003
48,38,Spr_2003
63,52,Spr_2002
78,44,Spr_2002
70,55,Spr_2002
75,35,Aut_2003
95,52,Spr_2002
76,55,Spr_2002
67,25,Spr_2003
81,63,Aut_2002
83,63,Aut_2002
74,49,Aut_2003
61,39,Spr_2002
91,41,Spr_2002
84,43,Aut_2003
46,42,Spr_2003
72,57,Spr_2002
64,62,Spr_2003
73,25,Aut_2003
51,43,Aut_2003
74,53,Spr_2003
80,60,Spr_2002
57,48,Aut_2003
92,56,Spr_2002
64,35,Spr_2003
75,56,Aut_2003
84,70,Aut_2002
89,56,Aut_2002
60,52,Aut_2003
85,63,Aut_2002
98,66,Aut_2002
78,31,Aut_2003
63,52,Spr_2003
93,56,Aut_2002
71,51,Spr_2002
73,64,Spr_2002
70,43,Spr_2003
71,52,Aut_2003
77,57,Spr_2002
88,57,Aut_2002
86,57,Aut_2002
84,53,Spr_2003
61,59,Aut_2003
84,70,Aut_2002
82,64,Aut_2002
49,31,Spr_2003
73,53,Aut_2003
59,41,Aut_2003
58,53,Aut_2003
69,65,Aut_2002
76,54,Spr_2002
35,62,Spr_2002
74,39,Spr_2002
76,54,Spr_2002
74,43,Spr_2003
75,53,Aut_2002
61,31,Aut_2003
62,58,Spr_2003
96,50,Spr_2003
64,40,Aut_2003
91,36,Spr_2003
87,62,Spr_2003
69,39,Spr_2003
89,62,Spr_2002
84,58,Aut_2003
81,63,Spr_2002
61,67,Spr_2003
66,56,Aut_2003
84,58,Spr_2002
63,52,Spr_2002
68,38,Aut_2003
83,32,Spr_2002
90,67,Aut_2002
80,57,Aut_2002
74,39,Aut_2003
70,49,Aut_2002
73,56,Aut_2002
97,52,Spr_2002
74,33,Spr_2003
77,53,Aut_2002
74,94,Spr_2003
78,47,Spr_2002
90,31,Spr_2003
72,36,Aut_2003
80,51,Spr_2003
82,62,Aut_2002
62,40,Spr_2003
78,58,Aut_2002
100,64,Aut_2002
73,56,Aut_2002
67,44,Aut_2003
62,63,Spr_2002
62,41,Aut_2003
68,54,Aut_2003
69,48,Aut_2003
79,58,Spr_2002
91,54,Aut_2002
47,66,Spr_2002
60,51,Spr_2002
65,66,Spr_2002
55,42,Spr_2003
75,50,Spr_2002
70,53,Aut_2002
94,58,Aut_2002
62,40,Aut_2003
71,47,Spr_2003
90,38,Aut_2003
61,35,Spr_2002
59,32,Aut_2003
74,50,Spr_2003
62,57,Aut_2002
80,22,Aut_2003
68,46,Spr_2002
43,52,Spr_2003
79,45,Spr_2003
100,41,Spr_2002
77,68,Spr_2002
87,60,Spr_2002
43,41,Spr_2003
53,55,Spr_2003
85,56,Aut_2002
70,68,Aut_2002
52,75,Spr_2003
65,52,Aut_2003
83,33,Spr_2003
60,48,Spr_2003
75,44,Aut_2003
58,46,Aut_2003
53,40,Spr_2003
85,32,Aut_2003
74,46,Spr_2002
70,48,Spr_2003
78,45,Spr_2003
84,58,Aut_2002
49,35,Spr_2003
83,56,Aut_2002
56,28,Spr_2003
76,22,Spr_2002
45,53,Spr_2003
66,34,Aut_2003
55,42,Spr_2003
64,69,Spr_2003
53,57,Aut_2003
95,60,Aut_2002
39,43,Aut_2003
89,59,Aut_2002
84,28,Spr_2002
82,51,Aut_2002
77,57,Aut_2002
